president,category,subcategory,item,count
Bush 41,Dessert,Souffle,Hot Raspberry Souffle with Custard Sauce,1
Bush 41,Dessert,Souffle,Dried Pear Souffle with Caramel Sauce,1
Bush 41,Dessert,Souffle,Cold Pumpkin Souffle with Crystallized Ginger and Blackberry Sauce,1
Bush 41,Dessert,Souffle,Frozen Lime Souffle with Cherry Marnier Sauce,1
Bush 41,Dessert,Ice Cream,Acorn Ice Cream with Marrons Glacé and Pistachio Sauce,1
Bush 41,Dessert,Bombe,Strawberry Sorbet Bombe,1
Bush 41,Dessert,Bombe,Summer Bombe with Fresh Cherries,1
Bush 41,Dessert,Bombe,Spring Bombe with Sabayon Sauce,1
Bush 41,Dessert,Bombe,Mocha Bombe with Tia Maria Parfait,1
Bush 41,Dessert,Bombe,Coffee Bombe with Rum Mousse,1
Bush 41,Dessert,Bombe,Pineapple Alaska,1
Bush 41,Dessert,Parfait,Coffee Parfait with Walnut Sauce,1
Bush 41,Dessert,Parfait,Date Parfait,1
Bush 41,Dessert,Parfait,Mocha Bombe with Tia Maria Parfait,1
Bush 41,Dessert,Parfait,Amaretto Parfait,1
Bush 41,Dessert,Pastries,Orange Croquembouche,1
Bush 41,Dessert,Gianduja,Delice Gianduja with Bitter Orange Sauce,1
Bush 41,Dessert,Sculpture,Chocolate Drum with Red & Golden Raspberries and Sabayon,1
Bush 41,Dessert,Sculpture,Chocolate Sea Shell with Assorted Sorbet,1
Bush 41,Dessert,Sculpture,Lime Turban with Iced Raspberries,1
Bush 41,Dessert,Sculpture,Mexican Fantasy,1
Bush 41,Dessert,Vacherin,Spring Vacherin,1
Bush 41,Dessert,Chocolate,Chocolate Truffles,1
Bush 41,Dessert,Petits Fours,Petits Fours,7
Bush 41,Dessert,Petits Fours,Petits Fours sec,2
Bush 41,Dessert,Petits Fours,Friandises,1
