CODE,NAME
HGTA,CORPORATE AVIATION S
HHMA,VICTORIA AVIATION SE
HHXA,HASKI AVIATION INC
HI1R,STEAD AVIATION CORP
HI5R,CESSNA AIRCRAFT CO
HIAA,HELICOPTER ADVENTURE
HIAR,HELICOPTER ADVENTURE
HIMR,AUSTIN JET AIRPLANES
HKGA,BERRY AVIATION INC
HLWR,LEGACY AVIATION
HM4R,"HARLESS, ROBERT E"
HMDA,CHARLIE HAMMONDS FLY
HMGR,TULSAIR BEECHCRAFT I
HNAA,PIEDMONT AIRLINES IN
HNXG,SPANISH FORK FLYING
HR8S,COCHISE COMMUNITY CO
HRMA,DIRECT FLIGHT INC
HSRA,LYNCH FLYING SERVICE
HSYA,CORPORATE AIR
HT3R,AIR PRO INTERNATIONA
HTFG,"HATFIELD, WILLIAM G"
HTIG,HELIFLIGHT INC
HUNR,GALVIN FLYING SERVIC
HUQA,HUSKER AIRCRAFT REPA
HVHA,"ZACH, ORIN"
HW4R,SOUTHERN AVIONICS AN
HW8S,TRAVIS AFB AERO CLUB
HWCA,UNIVERSITY OF TENNES
HWVR,HAWAII HELICOPTERS I
HX1R,C AND W AEROSERVICES
HXSA,TEMSCO HELICOPTERS I
HXSR,TEMSCO HELICOPTERS I
HXXC,LAKE CLARK AIR INC
HYEC,VALDEZ AERO SERVICES
HYIA,HYANNIS AIR SERVICE
HYQA,VILLAGE AVIATION INC
HZNR,HUTT AVIATION
HZXA,HORIZON HELICOPTERS
IBIR,DULLES AVIATION INC
IC2R,THUNDERBIRD ACCESSOR
IEER,AIR FLITE INC
IG1R,BARD AIR CORP
IGXR,VALLEY AIR SERVICES
IH3R,SABRETECH INC
IIFR,INDUSTRIAL HELICOPTE
IIMA,MINNESOTA JET
IIRR,WILLMAR AIR SERVICE
IJDA,INTERNATIONAL JET AV
IKBR,THE OHIO STATE UNIVE
IKKA,"HICKS, JAMES S"
ILDA,ISLAND HELICOPTERS K
ILIR,MARSH AVIATION COMPA
IMJA,GENERAL AVIATION FLY
IMKA,EXECUTIVE AIR FLEET
INDA,INDIANAPOLIS HELIPOR
INDR,INDIANAPOLIS HELIPOR
IOAA,EAGLE HELICOPTERS IN
IPXA,UNITED PARCEL SERVIC
ISCA,ISLAND AIR CHARTERS
ISYA,STARK AIRWAYS INC
IU6R,AERO-CONTROLS INC
IUJA,JIM AIR INC
IV2R,DIGITAL AND LINEAR S
IW1R,CESSNA AIRCRAFT COMP
IX1R,LUCAS INDUSTRIES INC
IX3R,B A E AVIATION INC
IXFR,IASCO FLIGHT CENTER
IXKA,KIWI INTERNATIONAL A
IXXA,AIR TRANSPORT INTERN
IY2R,BIZJET INTERNATIONAL
IY8S,JAX NAVY FLYING CLUB
IYOR,AIR TRANSPORT TRAINI
IZ2R,INTERCONTINENTAL JET
J2BR,J B TESTING INC
J7SA,JET SOLUTIONS LLC
J8SR,JASPER FLIGHT SERVIC
JA2R,AUSTIN JET HELICOPTE
JA6R,"KEATING, ROY E"
JA7A,JOHNSTON AVIATION CO
JAVR,JET AVIATION OF AMER
JBXA,MIDWAY AIRLINES CORP
JEMR,ELLIOTT AVIATION DES
JGBA,GENEVA INTERNATIONAL
JGVA,DUNCAN AVIATION INC
JGVR,DUNCAN AVIATION INC
JIKA,AMERIFLIGHT INC
JIKR,AMERIFLIGHT INC
JJBA,CHAMPLAIN ENTERPRISE
JL6R,TWIN OAKS AIRPARK IN
JLFL,SOUTHERN CALIFORNIA
JM1R,CHROMALLOY RESEARCH
JO1R,UNION CAMP CORP
JOGA,RASMARK JET CHARTER
JOVR,JOE VAUGHN SPRAYING
JQXR,"JUDKINS, RICHARD HIR"
JR2R,AAR OKLAHOMA INC
JRAA,RHOADES AVIATION INC
JSNR,PACIFICORP TRANS INC
JSYL,SCENIC RIVER HELICOP
JT2R,JRS ENTERPRISES INC
JT8S,WRIGHT PATTERSON AFB
JU2R,FORD MOTOR CO-AIR TR
JUJR,JOHN JEWELL AIRCRAFT
JV2R,SABRELINER CORP
JVBR,AJ AEROSPACE INC
JW4R,MIAMI HELICOPTER SER
JW5R,AIRTRONICS INC
JXPA,SKY BRIGHT INC
JYDR,ERICKSON AIR-CRANE C
JYER,CROMAN CORP
JZBR,JET AVIATION OF AMER
JZIR,JET SERVICES INC
JZYR,PREMIER AIRCRAFT ENG
K5SR,KEYSTONE AVIATION LL
KBBA,AIR PATH INC
KC2R,AIRCRAFT SYSTEMS INC
KCDA,BULLDOG AIRLINES INC
KD4R,SOUTH FLORIDA AIRCRA
KE2R,HONEYWELL INC
KG4R,CERTIFIED ENGINES UN
KH4D,UNITED AERODYNAMICS
KI2R,COLLINS FLIGHT OPERA
KJ4R,THE CESSNA AIRCRAFT
KKFA,KALITTA FLYING SERVI
KKYA,KEY AIR INC
KL1R,DANA CORP
KN2R,ROCKWELL INTL CORP C
KO1R,RAMAPO HELICOPTERS I
KO2R,MONTICELLO AVIATION
KO8V,GRIFFITH AVIATION IN
KPVA,ALOHA ISLANDAIR INC
KQ3R,SPIRIT AVIATION INC
KRTR,PENSACOLA AVIATION C
KT3R,GORDON B HAMILTON CO
KU2R,SPENCER AVIONICS INC
KUVR,BISCAYNE HELICOPTER
KVJA,MAY AIR XPRESS
KY1R,MARYLAND STATE POLIC
L4JR,LEARJET INC
LBTA,AIR NEWARK INC
LC1R,FREDERICK AVIATION I
LCF2,EVERGREEN HELICOPTER
LCFA,EVERGREEN HELICOPTER
LCFR,EVERGREEN HELICOPTER
LCPR,BOCA AIRPORT INC
LCPS,BOCA AVIATION
LE6R,L E A INC
LEGR,K-C AVIATION
LF1R,SKY TECH INC
LF3R,CRUISE AIR AVIATION
LFQA,LITCHFIELD FLYING LT
LH3R,HELI SUPPORT INC
LH5R,MILES INC
LHOA,FARE SHARE LTD
LJER,HILLSBORO AVIATION I
LJQR,KCI ENTERPRISES INC
LM3R,AIRLINE INTERIORS IN
LN3R,CORPORATE JETS MAINT
LNCR,MIDWAY AVIATION INC
LOVA,EMANUEL HOSPITAL
LP8S,"GOULIAN, MYRON"
LQYA,LYDDON AERO CENTER I
LS1R,AG ROTORS INC
LU4R,PALM BEACH AIRCRAFT
LVAA,LAS VEGAS AIRLINES I
LVTR,AVTEL SERVICES INC
LW5R,ANDREWS UNIVERSITY A
LX2R,WESTJET AIR CENTER I
LX4R,PRO-TECH AVIATION SE
LX5R,STATE OF ILLINOIS DO
M3HA,MAHALO AIR INC
M3XA,MED-TRANS CORPORATIO
M5WL,MOUNTAIN WEST HELICO
MA5R,CATERPILLAR INC
MALA,MESABA AVIATION INC
MASA,MESA AIR GROUP INC
MASR,DESERT TURBINE SERVI
MCCA,MCNEELY CHARTER SERV
MCIR,PREMIER AVIATION INC
MDGA,MEDJET INTERNATIONAL
ME4D,AVIATION PROPELLERS
ME4R,AVIATION PROPELLERS
MEJA,MERLIN EXPRESS INC
MFGA,CRITICAL CARE MEDFLI
MFLA,EXECUTIVE FLIGHT INC
MFNY,MT-PROPELLER
MG4R,SUNDSTRAND CORPORATI
MGJA,AVIANCE INTERNATIONA
MGMA,GRAND HOLDINGS INC
MGOR,ELLIOTT AVIATION OF
MI2R,HETRICK AIRCRAFT INC
MIRA,MILLON AIR INC
MJ1R,UNC CFC ACQUISITION
MJ7R,MIDWEST JET CENTER I
MLQA,MARTIN AVIATION L P
MMZR,EAST WEST HELICOPTER
MNTA,MOUNTAIN VIEW AEROMO
MOXA,MARO AVIATION INC
MQPA,MID-PLAINS AVIATION
MR2A,AVIONIC SYSTEMS INC
MRKA,MARKAIR INC
MS2R,LIL RED AERO INC
MT2R,LINCOLN PARACHUTE LO
MT9R,MARTINAIRE INC
MTNA,MOUNTAIN AIR CARGO I
MUAA,MURRAY AVIATION INC
MUCR,THE CESSNA AIRCRAFT
